color,condition,customerReviewAverage,customerReviewCount,description,features,longDescription,manufacturer,modelNumber,name,regularPrice,salePrice,shortDescription,sku,type,upc
Abyss Blue,New,4.2,425.0,,"[{'feature': '4"" Color touch screen\nChoose between multiple clockfaces or make yours using your best Google Photos albums on the 4&#8221; color touch display'}, {'feature': 'Quickly set up morning and night routines\nStart your day better and keep on top of your daily tasks & schedule. Ask Google to play music, check  your next meeting time and more'}, {'feature': 'Wireless charging dock with Built-In nightlight\nFast charge your phone while you rest undistracted throughout the night. The built-in nightlight is just bright enough to illuminate your way'}, {'feature': 'Control your home\nStream security cameras & see who is at the door. Voice control over 50,000 compatible smart devices from 5,000 brands.'}, {'feature': 'Enjoy music and more\nEnjoy your favorite music, radio, audiobooks and podcasts using your voice or casting from your phone'}, {'feature': 'Ask Google to check weather, schedules, etc\nAsk Google to show you the weather, your commute, upcoming appointments and more. Just start with &#8220;Hey Google&#8221;'}, {'feature': '*Apple, the Apple logo and iTunes are trademarks of Apple Computer, Inc., registered in the U.S. and other countries. iPod is a trademark of Apple Computer, Inc.'}]","The best bedroom Smart Clock just got even better. The Lenovo Smart Clock Gen 2 with Wireless Charging Dock keeps your nightstand clutter free.  Charge up to two additional devices at once: your phone (using the wireless dock) and another accessory, like a smart watch (using the USB port). The 4&#8220; color touchscreen showcases the time, weather and your family photos with a choice of customizable clock faces or check in on your smart cameras feeds before bed. Enhanced with a built-in nightlight when docked, the light is just bright enough to illuminate your way without waking your partner. With multiroom audio, you can add your Lenovo Smart Clock Gen 2 to a speaker group and play media across multiple devices and rooms.",Lenovo,ZA970028US,"Lenovo - Smart Clock (2nd Gen) 4"" Smart Display with Google Assistant and Wireless Charging Dock - Abyss Blue",89.99,44.99,,6481518,HardGood,195890196411
Abyss Blue,New,4.3,197.0,,"[{'feature': '4"" Color touch screen\nChoose between multiple clockfaces or make yours using your best Google Photos albums on the 4&#8221; color touch display'}, {'feature': 'Quickly set up morning and night routines\nStart your day better and keep on top of your daily tasks and schedule. Ask Google to play music, check  your next meeting time and more'}, {'feature': 'Control your home\nStream security cameras and see who is at the door. Voice control over 50,000 compatible smart devices from 5,000 brands.'}, {'feature': 'Enjoy music and more\nEnjoy your favorite music, radio, audiobooks and podcasts using your voice or casting from your phone'}, {'feature': 'Ask Google to check weather, schedules, etc\nAsk Google to show you the weather, your commute, upcoming appointments and more. Just start with &#8220;Hey Google&#8221;'}, {'feature': '*Apple, the Apple logo and iTunes are trademarks of Apple Computer, Inc., registered in the U.S. and other countries. iPod is a trademark of Apple Computer, Inc.'}]","The best bedroom Smart Clock just got even better. The Lenovo Smart Clock Gen 2 has a 4&#8220; color touchscreen showcases the time, weather and your family photos. Choose a customizable clock face or check in on your smart cameras feeds before bed. With multiroom audio, you can add your Lenovo Smart Clock Gen 2 to a speaker group and play media across multiple devices and rooms.",Lenovo,ZA970013US,"Lenovo - Smart Clock (2nd Gen) 4"" Smart Display with Google Assistant - Abyss Blue",69.99,34.99,,6485801,HardGood,195713900485
Adjustable White,New,4.4,9.0,,"[{'feature': 'Create custom schedules\nUse the Geeni app to program your lights to match your routine. Turn lights on or off at certain times or set them to respond to the sun, turning on at sunset and off at sunrise.'}, {'feature': 'White light that fits your needs\nChoose from different shades and intensities so you can comfortably concentrate, read, relax and more.'}, {'feature': 'Mobile control from your smartphone or tablet\nYou can download the Geeni app to adjust white light tones and set schedules from anywhere if you are connected to the Internet.'}, {'feature': 'LED bulb technology\nDesigned to provide longer, more energy-efficient illumination.'}, {'feature': 'Installs easily into your existing BR30 light fittings\nSetup is as simple as screwing the bulb into your fixture or lamp, flipping the switch and finding the bulb on the app.'}]","Enjoy efficient lighting with this Geeni Lux Drop LED smart bulb. An output equivalent to 65 W and 700 lumens fills your room with illumination, while the adjustable color temperature lets you set a specific lighting mood. This Geeni Lux Drop LED smart bulb has Wi-Fi capability for convenient control via your smartphone or voice assistant device.",Geeni,GN-BW905-999,"Geeni - BR30 Wi-Fi Smart LED Bulb with Alexa, Google Assistant and Microsoft Cortana - Adjustable White",16.99,16.99,,6284162,HardGood,844702059313
Adjustable White,New,4.8,174.0,,"[{'feature': 'Control up to 10 lights with the Bluetooth app. With the Hue Bluetooth app, you can control directly your Hue smart lights in a single room of your home. Add up to 10 smart lights, and control them all with just the touch of a button on your mobile device'}, {'feature': 'Control lights with your voice. Get hands-free control of your lights and use your voice instead! Simple voice commands allow you to control multiple lights in a room or just a single lamp.*'}, {'feature': 'Easy 2-step installation. Just screw in your Hue Bluetooth bulb, and download the Hue Bluetooth app to connect directly to your new bulb'}, {'feature': 'Get perfect light for your daily activities. Make your day easier and more pleasant with four preset light recipes handcrafted especially for your daily tasks: Energize, Concentrate, Read, and Relax'}, {'feature': 'The two cool-toned scenes, Energize and Concentrate, help you get going in the morning or keep your focus, while the warmer scenes of Read and Relax support comfortable reading or calm a busy mind'}, {'feature': 'Unlock the full set of smart light features with a Hue Bridge (sold separately). Add a Hue Bridge to your smart lights to experience Philips Hue features. With a Hue Bridge, you can add up to 50 smart lights to control throughout your home'}, {'feature': 'Create timers and routines to automate your entire smart home lighting setup, and use your lights to wake up and go to sleep. Control them while away from home, or add accessories such as motion sensors and smart switches'}, {'feature': '* Works with Alexa when used with a compatible Echo device.'}, {'feature': '* Philips Hue Bluetooth lights are compatible with Amazon Echo Dot 3rd generation, Echo Plus and Echo Show 2nd generation devices. Seamless setup and control with Google Home and Google Nest devices coming soon.'}]","Easy smart lighting. Add a white ambiance light bulb with warm white to cool daylight to give the right light for daily tasks. Control instantly via Bluetooth in one room, or pair with a Hue Bridge (sold separately) to unlock the full set of smart lighting features.",Philips,548511,Philips - Hue White Ambiance BR30 Bluetooth Smart LED Bulb - Adjustable White,29.99,29.99,,6347043,HardGood,046677548513
Adjustable White,New,4.8,174.0,,"[{'feature': 'Control up to 10 lights with the Bluetooth app. With the Hue Bluetooth app, you can control directly your Hue smart lights in a single room of your home. Add up to 10 smart lights, and control them all with just the touch of a button on your mobile device'}, {'feature': 'Control lights with your voice. Get hands-free control of your lights and use your voice instead! Simple voice commands allow you to control multiple lights in a room or just a single lamp.*'}, {'feature': 'Easy 2-step installation. Just screw in your Hue Bluetooth bulb, and download the Hue Bluetooth app to connect directly to your new bulb'}, {'feature': 'Get perfect light for your daily activities. Make your day easier and more pleasant with four preset light recipes handcrafted especially for your daily tasks: Energize, Concentrate, Read, and Relax'}, {'feature': 'The two cool-toned scenes, Energize and Concentrate, help you get going in the morning or keep your focus, while the warmer scenes of Read and Relax support comfortable reading or calm a busy mind'}, {'feature': 'Unlock the full set of smart light features with a Hue Bridge (sold separately). Add a Hue Bridge to your smart lights to experience Philips Hue features. With a Hue Bridge, you can add up to 50 smart lights to control throughout your home'}, {'feature': 'Create timers and routines to automate your entire smart home lighting setup, and use your lights to wake up and go to sleep. Control them while away from home, or add accessories such as motion sensors and smart switches'}, {'feature': '* Works with Alexa when used with a compatible Echo device.'}, {'feature': '* Philips Hue Bluetooth lights are compatible with Amazon Echo Dot 3rd generation, Echo Plus and Echo Show 2nd generation devices. Seamless setup and control with Google Home and Google Nest devices coming soon.'}]","Easy smart lighting. Add a white ambiance light bulb with warm white to cool daylight to give the right light for daily tasks. Control instantly via Bluetooth in one room, or pair with a Hue Bridge (sold separately) to unlock the full set of smart lighting features.",Philips,548594,Philips - Hue White Ambiance BR30 Bluetooth Smart LED Bulb (2-Pack) - Adjustable White,39.99,39.99,,6347050,HardGood,046677548599
Adjustable White,New,4.8,287.0,,"[{'feature': 'Get perfect light for your daily activities\nMake your day easier and more pleasant with four preset light recipes handcrafted especially for your daily tasks: Energize, Concentrate, Read, and Relax.'}, {'feature': 'The two cool-toned scenes, Energize and Concentrate, help you get going in the morning or keep your focus, while the warmer scenes of Read and Relax help support comfortable reading or calm a busy mind.'}, {'feature': 'Set the right mood with soft white light\nDimmable from bright daylight to low nightlights, these smart lights allow you to fill your home with just the right level of light when you need it.'}, {'feature': 'LED bulb technology\nDesigned to provide longer, more energy-efficient illumination.'}, {'feature': 'Unlock full set of smart light features with Hue bridge (sold separately)\nAdd a Hue bridge to your smart lights to experience the full set of Philips Hue features. With a Hue bridge, you can add up to 50 smart lights to control throughout your home.'}, {'feature': 'Create timers and routines to automate your entire smart home lighting setup, use your lights to wake up and go to sleep. Control your lights while away from home, or add accessories, such as motion sensors and smart switches.'}, {'feature': 'Control lights with your voice\nGet hands-free control of your lights and use your voice instead! Simple voice commands allow you to control multiple lights in a room or just a single lamp.*'}, {'feature': 'Control up to 10 lights with Bluetooth app\nWith the Hue Bluetooth app, you can control directly your Hue smart lights in a single room of your home. Add up to 10 smart lights, and control them all with just a touch of a button on your mobile device.'}, {'feature': 'Easy 2-step installation\nJust screw in your Hue Bluetooth bulb, and download the Hue Bluetooth app to connect directly to your new bulb.'}, {'feature': '* Works with Alexa when used with a compatible Echo device.'}, {'feature': '* Philips Hue Bluetooth lights are compatible with Amazon Echo Dot 3rd generation, Echo Plus and Echo Show 2nd generation devices. Seamless setup and control with Google Home and Google Nest devices coming soon.'}]","Easy smart lighting. Add a white ambiance light bulb with warm white to cool daylight to give the right light for daily tasks. Control instantly via Bluetooth in one room, or pair with a Hue Bridge (sold separately) to unlock the full set of smart lighting features.",Philips,548495,Philips - Hue White Ambiance A19 Bluetooth Smart LED Bulb - Adjustable White,25.99,25.99,,6349310,HardGood,046677548490
Adjustable White,Refurbished,5.0,1.0,,"[{'feature': 'Control up to 10 lights with the Bluetooth app. The Hue Bluetooth app lets you control directly your Hue smart lights in a single room of your home. Add up to 10 smart lights, and control them all with just a touch of a button on your mobile device'}, {'feature': 'You can control the lights with your voice. Get hands-free control of your lights, and use your voice instead. Its simple voice commands allow you to control multiple lights in a room or just a single lamp*'}, {'feature': 'Easy two-step installation. Just screw in your Hue Bluetooth bulb, and download the Hue Bluetooth app to connect directly to your new bulb'}, {'feature': 'Get perfect light for your daily activities. Make your day easier and more pleasant with four preset light recipes handcrafted especially for your daily tasks: Energize, Concentrate, Read, and Relax'}, {'feature': 'Its two cool-toned scenes, Energize and Concentrate, help you get going in the morning or keep your focus, while the warmer scenes of Read and Relax support comfortable reading or calm a busy mind'}, {'feature': 'Unlock the full set of smart light features with a Hue bridge (sold separately). Add a Hue bridge to your smart lights to experience Philips Hue features. A Hue bridge lets you add up to 50 smart lights to control throughout your home'}, {'feature': 'Create timers and routines to automate your entire smart home lighting setup, and use your lights to wake up and go to sleep. Control them while away from home, or add accessories such as motion sensors and smart switches'}, {'feature': '* Works with Alexa when used with a compatible Echo device.'}, {'feature': '* Philips Hue Bluetooth lights are compatible with Amazon Echo Dot 3rd Gen, Echo Plus, and Echo Show 2nd Gen devices. Seamless setup and control with Google Home and Google Nest devices coming soon.'}]","Geek Squad&#174; Certified Refurbished products are thoroughly, painstakingly and lovingly tested, so you can be sure that your device will work right, right away. Learn more about Geek Squad&#174; Certified Refurbished products.Customize your lighting system with this 2-pack of refurbished Philips Hue BR30 ambiance smart bulbs. Bluetooth connectivity offers wireless control, while compatibility with Google Assistant and Amazon Alexa enables voice control. These Philips Hue BR30 ambiance smart bulbs pair with the Hue bridge and app for intuitive operation, and the 7.5W bulbs clearly illuminate your home with white light from warm to cool.",Philips,GSRF 548594,Philips - Geek Squad Certified Refurbished Hue White Ambiance BR30 Bluetooth Smart LED Bulb (2-Pack) - Adjustable White,39.99,35.99,,6421603,HardGood,400064216032
Adjustable White,New,4.4,70.0,,"[{'feature': 'Simple set up\nWorks right out of the box using the Cync app&#8212;no additional hardware needed.'}, {'feature': 'Voice control with Amazon Alexa and the Google Assistant\nDirectly connect to your Google Assitant or Amazon Alexa for voice control of your lights.'}, {'feature': 'Out-of-home control\nGet lighting control away from home through the Cync app - no hub or bridge needed.'}, {'feature': 'Light that syncs to your sleep/wake cycle\nAdjust your white light to any color between warm, amber light tones (2000K) and cool, bluish tones (7000K), including optimized settings to support your sleep/wake cycle.'}, {'feature': 'Create custom schedules\nAutomations allow you to schedule when lights are on and off, including customized schedules for different days of the week.'}, {'feature': 'Set scenes for every occasion\nSet scenes like warm dimmed light for movie time or cool bright lights when you wake up in the morning.'}, {'feature': 'Whole-room control\nPair your Tunable White Smart Bulbs with other Cync and C by GE devices to get whole room lighting control.'}, {'feature': 'Control bulbs individually or group together\nControl each light bulb individually or group bulbs together so that you can brighten, dim, turn on and turn off your lights simultaneously.'}, {'feature': 'Mobile control from your smartphone or tablet\nThe free iOS- and Android-compatible app lets you adjust brightness and turn lights on and off without leaving your seat or bed.'}, {'feature': 'Long lasting and low energy use\nLED technology uses about 84% less energy and lasts 15 times longer than a 60-Watt incandescent bulb while providing nearly the same light output.'}, {'feature': 'Installs easily into your existing table and floor lamps\nThe traditional A19 bulb shape and size fits medium base sockets in open fixtures designed for 60-Watt incandescent A19 bulbs.'}]","Use Cync Tunable White Smart Bulbs to get the perfect light for every time of day. From bright, vibrant light in the morning, to soft, white light in the afternoon, and a cozy amber glow at night, these bulbs support your sleep/wake cycle and every time in between. Get added confidence by scheduling your lights so you never coming home to a dark house. With voice control and the ability to control your lights away from home, you'll get the added convenience of controlling your lights while away on vacation or when your hands are full.",GE,93128974,"GE - Cync Smart Tunable White Direct Connect Light Bulbs (2 A19 Smart LED Light Bulbs), 60W Replacement - Adjustable White",22.99,18.99,,6425910,HardGood,043168523974
Adjustable White,New,3.8,5.0,,"[{'feature': 'Simple set up\nWorks right out of the box using the Cync app&#8212;no additional hardware needed.'}, {'feature': 'Voice control with Amazon Alexa and the Google Assistant\nDirectly connect to your Google Assitant or Amazon Alexa for voice control of your lights.'}, {'feature': 'Out-of-home control\nGet lighting control away from home through the Cync app - no hub or bridge needed.'}, {'feature': 'Light that syncs to your sleep/wake cycle\nAdjust your white light to any color between warm, amber light tones (2000K) and cool, bluish tones (7000K), including optimized settings to support your sleep/wake cycle.'}, {'feature': 'Create custom schedules\nAutomations allow you to schedule when lights are on and off, including customized schedules for different days of the week.'}, {'feature': 'Set scenes for every occasion\nSet scenes like warm dimmed light for movie time or cool bright lights when you wake up in the morning.'}, {'feature': 'Whole-room control\nPair your Tunable White Smart Bulbs with other Cync and C by GE devices to get whole room lighting control.'}, {'feature': 'Control bulbs individually or group together\nControl each light bulb individually or group bulbs together so that you can brighten, dim, turn on and turn off your lights simultaneously.'}, {'feature': 'Mobile control from your smartphone or tablet\nThe free iOS- and Android-compatible app lets you adjust brightness and turn lights on and off without leaving your seat or bed.'}, {'feature': 'Long lasting and low energy use\nLED technology uses about 85% less energy and lasts seven times longer than a 65-Watt incandescent BR30 bulb while providing nearly the same light output.'}, {'feature': 'Installs easily into your existing table and floor lamps\nThe BR30 indoor floodlight bulb shape and size (3-3/4-inch diameter) fits medium base sockets in open recessed can and track lighting fixtures designed for 65-Watt incandescent BR30 bulbs.'}]","Use Cync Tunable White Smart Bulbs to get the perfect light for every time of day. From bright, vibrant light in the morning, to soft, white light in the afternoon, and a cozy amber glow at night, these bulbs support your sleep/wake cycle and every time in between. Get added confidence by scheduling your lights so you never coming home to a dark house. With voice control and the ability to control your lights away from home, you'll get the added convenience of controlling your lights while away on vacation or when your hands are full.",GE,93128978,"GE - Cync Smart Tunable White Direct Connect Light Bulbs(2 BR30 Smart LED Light Bulbs), 65W Replacement - Adjustable White",29.99,23.99,,6425911,HardGood,043168524018
Adjustable White,New,4.4,70.0,,"[{'feature': 'Simple set up\nWorks right out of the box using the Cync app&#8212;no additional hardware needed.'}, {'feature': 'Voice control with Amazon Alexa and the Google Assistant\nDirectly connect to your Google Assitant or Amazon Alexa for voice control of your lights.'}, {'feature': 'Out-of-home control\nGet lighting control away from home through the Cync app - no hub or bridge needed.'}, {'feature': 'Light that syncs to your sleep/wake cycle\nAdjust your white light to any color between warm, amber light tones (2000K) and cool, bluish tones (7000K), including optimized settings to support your sleep/wake cycle.'}, {'feature': 'Create custom schedules\nAutomations allow you to schedule when lights are on and off, including customized schedules for different days of the week.'}, {'feature': 'Set scenes for every occasion\nSet scenes like warm dimmed light for movie time or cool bright lights when you wake up in the morning.'}, {'feature': 'Whole-room control\nPair your Tunable White Smart Bulbs with other Cync and C by GE devices to get whole room lighting control.'}, {'feature': 'Control bulbs individually or group together\nControl each light bulb individually or group bulbs together so that you can brighten, dim, turn on and turn off your lights simultaneously.'}, {'feature': 'Mobile control from your smartphone or tablet\nThe free iOS- and Android-compatible app lets you adjust brightness and turn lights on and off without leaving your seat or bed.'}, {'feature': 'Long lasting and low energy use\nLED technology uses about 84% less energy and lasts 15 times longer than a 60-Watt incandescent bulb while providing nearly the same light output.'}, {'feature': 'Installs easily into your existing table and floor lamps\nThe traditional A19 bulb shape and size fits medium base sockets in open fixtures designed for 60-Watt incandescent A19 bulbs.'}]","Use Cync Tunable White Smart Bulbs to get the perfect light for every time of day. From bright, vibrant light in the morning, to soft, white light in the afternoon, and a cozy amber glow at night, these bulbs support your sleep/wake cycle and every time in between. Get added confidence by scheduling your lights so you never coming home to a dark house. With voice control and the ability to control your lights away from home, you'll get the added convenience of controlling your lights while away on vacation or when your hands are full.",GE,93128975,"GE - Cync Smart Tunable White Direct Connect Light Bulbs (4 A19 Smart LED Light Bulbs), 60W Replacement - Adjustable White",42.99,30.99,,6425912,HardGood,043168523981
