color,condition,customerReviewAverage,customerReviewCount,description,features,longDescription,manufacturer,modelNumber,name,regularPrice,salePrice,shortDescription,sku,type,upc
Abyss Blue,New,4.2,259.0,,"[{'feature': 'Google Chrome OS\nChromebook is a computer for the way the modern world works, with thousands of apps, built-in virus protection and cloud backups. It is secure, fast, up-to-date, versatile and simple.'}, {'feature': '13.3"" Full HD 10-point multitouch screen\n1920 x 1080 resolution to showcase your games and movies with impressive color and clarity.'}, {'feature': 'Intel&#174; Pentium&#174; Gold 7505 Processor\nImpressive performance. A great value and the performance to do daily activities plus the next level of power to do beginning photo and video editing and seamlessly multi-task. Enjoy quick processing and vivid graphics.'}, {'feature': '4GB system memory for basic multitasking\nAdequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once.'}, {'feature': '360&#176; flip-and-fold design\nOffers versatile functionality with laptop, stand, tent, and tablet modes.'}, {'feature': 'Weighs 2.97 lbs. and measures 0.67"" thin\nThin and light design with DVD/CD drive omitted for improved portability. Lithium-ion battery.'}, {'feature': 'Aluminum chassis\nOffers a sleek look.'}, {'feature': 'Built-in HD webcam with dual array microphone\nMakes it easy to video chat with family and friends or teleconference with colleagues over Skype or other popular applications.'}, {'feature': 'Additional port\nHeadphone/microphone combo jack.'}, {'feature': 'Note: This Chromebook does not include a built-in DVD/CD drive.'}]","Lenovo&#8482; IdeaPad&#8482; Flex 5 Chromebook 13"", powered by Intel Pentium 7505 Processor, boasts up to 10 hours of battery life to let you get things done quickly and easily with all your favorite Chromebook features. Use your Google Account for seamless access to your files, photos, music and you can start an immersive entertainment experience with the user-facing stereo speakers and IPS FHD display&#8211;or you can enjoy more by apps downloaded on the Google Play Store. Any great idea pop up in mind? Just flip your Chromebook and dot your ideas with the Lenovo digital pen to catch the moment.",Lenovo,82M70000US,"Lenovo - Flex 5 13"" 2-in-1 Chromebook - Pentium 7505 - 4GB Memory - 32GB eMMC - Abyss Blue",419.0,219.99,,6454254,HardGood,195713714631
Abyss Blue,New,4.3,304.0,,"[{'feature': 'Chrome Operating System\nChromebook is a computer for the way the modern world works, with thousands of apps, built-in virus protection and cloud backups. It is secure, fast, up-to-date, versatile and simple.'}, {'feature': '13.3"" Full HD multitouch screen\nThe 1920 x 1080 resolution boasts impressive color and clarity. OLED display for an immersive experience.'}, {'feature': 'Qualcomm Snapdragon SC7180 Processor\nThe octa-core 2.55GHz processor delivers outstanding overall performance for opening and running applications, flipping through menus and more.'}, {'feature': '8GB system memory for advanced multitasking\nSubstantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.'}, {'feature': '128GB eMMC flash memory\nThis ultracompact memory system is ideal for mobile devices and applications, providing enhanced storage capabilities, streamlined data management, quick boot-up times and support for high-definition video playback.'}, {'feature': 'Weighs 2.22 lbs. and measures 0.27"" thin\nThin and light design with DVD/CD drive omitted for improved portability. 2-cell lithium polymer battery.'}, {'feature': 'Octa-core processor\nThe right combination of fast performance and power efficiency. It allows rapid multitasking, delivers smooth response, and boasts amazing graphics.'}, {'feature': 'Dual cameras for photos and face-to-face chat\n5.0MP fixed-focus front-facing camera and 8.0MP autofocus rear-facing camera.'}, {'feature': 'Wireless/Wired connectivity (WiFi 6 - 802.11 ax)\nFlexible, dual-band connectivity w/ greater reliability thanks to two data streams and antennas. Connect to a Wi-Fi router to experience GB Wi-Fi speeds nearly 3X faster vs. standard Wi-Fi 5 w/ improved responsiveness for even more devices.'}, {'feature': ""Abyss Blue\nAdds subtle style to the laptop's lid.""}, {'feature': 'Basic software package included\n30-days trial of Microsoft Office.'}, {'feature': 'This laptop does not include a built-in DVD/CD drive.'}]","The thin and light 13"" IdeaPad Duet 5 Chromebook now packs a brilliant OLED 1920 x 1080 touch screen featuring narrow bezels for true blacks and a cinematic experience, as well as four speakers for clear and resonant audio.",Lenovo,82QS001HUS,"Lenovo - IdeaPad Duet 5 Chromebook - 13.3"" OLED 1920x1080 Touch 2in1 Tablet - Snapdragon 7cG2 - 8GB - 128GB eMMC - with Keyboard - Abyss Blue",499.0,499.0,,6477625,HardGood,196118500928
Abyss Blue,New,4.7,73.0,,"[{'feature': 'Chrome OS\nChromebook is a computer for the way the modern world works, with thousands of apps, built-in virus protection and cloud backups. It is secure, fast, up-to-date, versatile and simple.'}, {'feature': '11.6"" HD Touch display\nTypical 1366 x 768 HD resolution.'}, {'feature': 'Intel&#174; Celeron&#174; N4020 Processor\nFeaturing true machine intelligence and a newly designed efficient architecture, the groundbreaking processor learns and adapts to your needs so you can achieve more.'}, {'feature': '4GB system memory for basic multitasking\nAdequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once.'}, {'feature': '64GB eMMC flash memory\nThis ultracompact memory system is ideal for mobile devices and applications, providing enhanced storage capabilities, streamlined data management, quick boot-up times and support for high-definition video playback.'}, {'feature': 'Intel UHD Graphics 600\nSmoothly stream 4K content and play your favorite games in 720p, without the need for a dedicated graphics card.'}, {'feature': 'Weighs 2.64 lbs. and measures 0.70"" thin\nUltraportable design, featuring a smaller screen size and omitting the DVD/CD drive to achieve the compact form factor. 3-cell lithium-polymer battery.'}, {'feature': 'Built-in media reader for simple photo transfer\nSupports microSD memory card formats.'}, {'feature': 'Wireless connectivity (WiFi 5 - 802.11 ac)\nConnect to a Wireless-AC router for nearly 3x the speed, more capacity and wider coverage than Wireless-N. Backward-compatible with all other Wi-Fi networks and hotspots.'}, {'feature': 'Built-in HD webcam with microphone\nMakes it easy to video chat with family and friends or teleconference with colleagues over Skype or other popular applications.'}, {'feature': 'Additional port\nHeadphone/microphone combo jack.'}, {'feature': 'Note: This laptop does not include a built-in DVD/CD drive.'}]","Fast, flexible, and fun, the Lenovo&#8482; IdeaPad&#8482; Flex 3 Chromebook 11"" brings everyone&#8217;s favorite Chromebook features, housed in a slim 2-in-1 chassis, running on the lightning-fast Chrome OS that boots up in seconds, updates automatically, and is protected by built-in virus protection. Smaller than a piece of A4 paper, the IdeaPad Flex 3 Chromebook 11"" features an Intel&#174; processor with up to 10 hours battery life. IdeaPad Flex 3 Chromebook 11"" is your best companion from day to night.",Lenovo,82BB000AUS,"Lenovo - Flex 3 Chromebook 11.6"" HD Touch-screen Laptop - Celeron N4020 - 4GB - 64GB eMMC - Abyss Blue",189.0,189.0,,6500336,HardGood,194778319782
Abyss Blue,New,4.7,763.0,,"[{'feature': 'Chrome OS\nChromebook is a computer for the way the modern world works, with thousands of apps, built-in virus protection and cloud backups. It is secure, fast, up-to-date, versatile and simple.'}, {'feature': '11.6"" HD Touch display\nTypical 1366 x 768 HD resolution.'}, {'feature': 'MediaTek MT8183 processor\nMulticore processing. Based on ARM Cortex architecture, delivers the multitasking performance you need, the graphics quality you want, and the power efficiency you rely on.'}, {'feature': '4GB system memory for basic multitasking\nAdequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once.'}, {'feature': '64GB eMMC flash memory\nThis ultracompact memory system is ideal for mobile devices and applications, providing enhanced storage capabilities, streamlined data management, quick boot-up times and support for high-definition video playback.'}, {'feature': 'Integrated ARM-based Graphics\nThe integrated graphics chipset with shared video memory provides solid image quality for Internet use, movies, basic photo editing, and casual gaming.'}, {'feature': 'Weighs 2.64 lbs. and measures 0.77"" thin\nUltraportable design, featuring a smaller screen size and omitting the DVD/CD drive to achieve the compact form factor. 3-cell lithium-polymer battery.'}, {'feature': 'Built-in media reader for simple photo transfer\nSupports microSD memory card formats.'}, {'feature': 'Wireless connectivity (WiFi 5 - 802.11 ac)\nConnect to a Wireless-AC router for nearly 3x the speed, more capacity and wider coverage than Wireless-N. Backward-compatible with all other Wi-Fi networks and hotspots.'}, {'feature': 'Built-in HD webcam with microphone\nMakes it easy to video chat with family and friends or teleconference with colleagues over Skype or other popular applications.'}, {'feature': 'Additional port\nHeadphone/microphone combo jack.'}, {'feature': 'Note: This laptop does not include a built-in DVD/CD drive.'}]","Packs what makes Chromebook so amazing into one svelte 360-degree convertible. Versatile and portable, the IdeaPad&#8482; Flex 3 Chromebook measures just 19.6 mm thick and weighs 1.2 kg with a full keyboard and spacious trackpad, and can be viewed in tent, tablet, laptop or stand modes. Watch crisp visuals in high definition with its 10-point touchscreen on the 11.6"" IPS display while being more productive with help from Google. Just say &#8220;Hey Google,&#8221; to manage tasks, enjoy your entertainment, get answers, or control smart home devices.",Lenovo,82KM0003US,"Lenovo - Flex 3 Chromebook 11.6"" HD Touch-screen Laptop - Mediatek MT8183 - 4GB - 64GB eMMC - Abyss Blue",179.0,179.0,,6500337,HardGood,195713266192
Abyss Blue,New,4.4,62.0,,"[{'feature': 'Chrome Operating System\nChromebook is a computer for the way the modern world works, with thousands of apps, built-in virus protection and cloud backups. It is secure, fast, up-to-date, versatile and simple.'}, {'feature': '15.6"" Full-HD multitouch screen\nThe 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.'}, {'feature': 'Intel Celeron N4500 Processor\nAn Intel&#174; Celeron&#174; processor offers exceptional quality and value, with the processing power you need to get your work done, and stay in touch on the go.'}, {'feature': '4GB system memory for basic multitasking\nAdequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once.'}, {'feature': '64GB eMMC Storage\nThis ultracompact memory system is ideal for mobile devices and applications, providing enhanced storage capabilities, streamlined data management, quick boot-up times and support for high-definition video playback.'}, {'feature': 'Intel UHD Graphics\nOn-processor graphics with shared video memory provide everyday image quality for Internet use, basic photo editing and casual gaming.'}, {'feature': 'Weighs 4.18 lbs. and measures 0.75"" thin\nThin and light design with DVD/CD drive omitted for improved portability. 3-cell lithium polymer battery.'}, {'feature': 'Wireless/Wired connectivity (WiFi 6 - 802.11 ax)\nFlexible, dual-band connectivity w/ greater reliability thanks to two data streams and antennas. Connect to a Wi-Fi router to experience GB Wi-Fi speeds nearly 3X faster vs. standard Wi-Fi 5 w/ improved responsiveness for even more devices.'}, {'feature': 'HDMI output expands your viewing options\nConnect to an HDTV or high-def monitor to set up two screens side by side or just see more of the big picture.'}, {'feature': ""Abyss Blue\nAdds subtle style to the laptop's lid.""}, {'feature': 'Additional Ports\nHeadphone/microphone combo jack.'}, {'feature': 'This Chromebook does not include a built-in DVD/CD drive.'}]","One of the most versatile Chromebooks on the market, the IdeaPad&#8482; Flex 3i Chromebook 15"" merges accessibility with power, with an Intel Celeron N4500 processor to handle even the most arduous tasks without a hint of strain. Its slim and light 360&#176; convertible design and 10 hours of battery life makes it suitable for any setting. And as a Chromebook, you can quickly access all your files, photos, music, and more. You can also talk to Google to help you multitask, control your smart home devices or manage your day.",Lenovo,82T3000DUS,"Lenovo - Flex 3i Chromebook 15.6"" FHD Touch-Screen Laptop - Celeron N4500 - 4GB Memory - 64GB eMMC - Abyss Blue",429.0,329.0,,6500917,HardGood,196379610534
Abyss Blue,New,,,,"[{'feature': '15.6"" Display\nAnti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity'}, {'feature': 'Ryzen 7\nImagine, design and create without boundaries. The powerful AMD Ryzen? 7 processor features machine intelligence that anticipates your needs. Discover true responsiveness with 8 cores for ultimate performance'}, {'feature': '8GB system memory for advanced multitasking\nSubstantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.'}, {'feature': '512 GB solid state drive (SSD)\nWhile offering less storage space than a hard drive, a flash-based SSD has no moving parts, resulting in faster start-up times and data access, no noise, and reduced heat production and power draw on the battery.'}, {'feature': 'AMD Radeon Shared graphics\nAMD Radeon graphics for regular office work, web browsing, watching videos and playing games'}, {'feature': 'Weighs 4.08 lbs and measures 0.67"" thin\nThin and light design with DVD/CD drive omitted for improved portability. 3-cell battery.'}, {'feature': 'HDMI output expands your viewing options\nConnect to an HDTV or high-def monitor to set up two screens side by side or just see more of the big picture.'}, {'feature': 'Backlit keyboard\nBacklit keyboard For easy typing in dim or dark conditions.'}]","IdeaPad 5 Series Laptops. Multimedia power to go. Fusing stunning sound and visuals with the power of a desktop PC, IdeaPad 5 laptops are your portable multimedia and gaming companions.",Lenovo,82SG0004US,"Lenovo - IdeaPad 15.6"" Laptop - AMD Ryzen 7 - 8 GB Memory - 512 GB SSD - Abyss Blue",759.99,759.99,,6512553,HardGood,196379733486
Abyss Blue,New,,,,"[{'feature': '15.6"" Full HD Touchscreen for hands-on control\nAnti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity'}, {'feature': ""12th Gen Intel&#174; Core? i5-1235U processor\nSmart Deca-core (10 Core) processing performance. Intel Turbo Boost Technology delivers dynamic extra power when you need it, while increasing energy efficiency when you don't.""}, {'feature': '256 GB solid state drive (SSD)\nWhile offering less storage space than a hard drive, a flash-based SSD has no moving parts, resulting in faster start-up times and data access, no noise, and reduced heat production and power draw on the battery.'}, {'feature': 'Intel Iris Xe Shared graphics\nIntel Iris Xe graphics for regular office work, web browsing, watching videos and playing games'}, {'feature': 'Weighs 3.59 lbs and measures 0.78"" thin\nThin and light design with DVD/CD drive omitted for improved portability. 3-cell battery.'}, {'feature': 'HDMI output expands your viewing options\nConnect to an HDTV or high-def monitor to set up two screens side by side or just see more of the big picture.'}, {'feature': 'Backlit keyboard\nBacklit keyboard For easy typing in dim or dark conditions.'}]","IdeaPad. Diverse styles, singular performance. Everyday laptops for first-time users. High-performance laptops for serious gamers. Convertible PCs for those who like their entertainment on the go. There&#65533;s an Ideapad for everyone. Embracing form, function, style, and fun, each Ideapad delivers responsive performance you can count on.",Lenovo,82RK001DUS,"Lenovo - IdeaPad 3 15IAU7 15.6"" Laptop - Intel Core i5 - Memory - 256 GB SSD - Abyss Blue",699.99,699.99,,6517408,HardGood,196379733424
Abyss Blue with Fabric Cover,New,4.5,488.0,,"[{'feature': 'Windows 11 Operating System\nWindows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.'}, {'feature': '13.3"" Full HD 10-point multitouch screen\nThe 1920 x 1080 resolution boasts impressive color and clarity. Touch, tap, glide and make the most of Windows 11. IPS technology for wide viewing angles. Energy-efficient LED backlight.'}, {'feature': 'AMD Ryzen 7 5700U mobile processor\nImagine, design and create without boundaries. The powerful AMD Ryzen&#8482; 7 processor features machine intelligence that anticipates your needs. Discover true responsiveness with 8 cores and 16 threads for ultimate performance.'}, {'feature': '360&#176; flip-and-fold design\nOffers four versatile modes &#8212; laptop, tablet, tent and stand. Lenovo Transition automatically switches specific applications to full screen when changing from PC to tablet, tent or stand position.'}, {'feature': 'AMD Radeon Graphics\nIntegrated graphics chipset with shared video memory provides solid image quality for Internet use, movies, basic photo editing and casual gaming.'}, {'feature': '512GB solid state drive (SSD)\nWhile offering less storage space than a hard drive, a flash-based SSD has no moving parts, resulting in faster start-up times and data access, no noise, and reduced heat production and power draw on the battery.'}, {'feature': '16GB system memory for intense multitasking and gaming\nPlenty of high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.'}, {'feature': 'Weighs 2.9 lbs. and measures 0.7"" thin\nUltrathin and ultralight for maximum portability, featuring a smaller screen size and omitting the DVD/CD drive to achieve the compact form factor. Lithium-ion battery.'}, {'feature': 'Aluminum chassis\nOffers a sleek look.'}, {'feature': 'Wireless/Wired connectivity (WiFi 6 - 802.11 ax)\nFlexible, dual-band connectivity w/ greater reliability thanks to two data streams and antennas. Connect to a Wi-Fi router to experience GB Wi-Fi speeds nearly 3X faster vs. standard Wi-Fi 5 w/ improved responsiveness for even more devices.'}, {'feature': 'Built-in HD webcam with dual array microphone\nMakes it easy to video chat with family and friends or teleconference with colleagues over Skype or other popular applications.'}, {'feature': 'Backlit keyboard for easy typing in dim or dark locations\nTouchpad with scroll and multitouch capability'}, {'feature': 'Built-in fingerprint reader\nStreamlines security settings for quick, typo-free access.'}, {'feature': 'Additional port\nHeadphone/microphone combo jack.'}, {'feature': 'Note: This laptop does not include a built-in DVD/CD drive.'}, {'feature': 'AMD, AMD Arrow logo and combinations thereof are trademarks of Advanced Micro Devices, Inc.'}]","The Lenovo&#8482; Yoga&#8482; 6 is an ultra-portable 2-in-1 that combines unique style with the powerful responsiveness of an AMD Ryzen&#8482; 5000 Series Mobile Processor, abundant memory and SSD storage. Enjoy a rich multimedia experience with the clarity of a 13.3"" FHD touchscreen display, and enveloping sound with Dolby Atmos&#174;-optimized stereo speakers.",Lenovo,82ND0002US/82ND006QUS,"Lenovo Yoga 6 13 2-in-1 13.3"" Touch Screen Laptop - AMD Ryzen 7 - 16GB Memory - 512GB SSD - Abyss Blue with Fabric Cover",949.99,712.99,,6455180,HardGood,195891963081
Abyss Blue with Fabric Cover,New,4.4,722.0,,"[{'feature': 'Windows 11 Operating System\nWindows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.'}, {'feature': '13.3"" Full HD 10-point multitouch screen\nThe 1920 x 1080 resolution boasts impressive color and clarity. Touch, tap, glide and make the most of Windows 11. IPS technology for wide viewing angles. Energy-efficient LED backlight.'}, {'feature': 'AMD Ryzen 5 5500U mobile processor\nImagine, design and create without boundaries. The powerful AMD Ryzen&#8482; 5 processor features machine intelligence that anticipates your needs. Discover true responsiveness with 6 cores and 12 threads for ultimate performance.'}, {'feature': '360&#176; flip-and-fold design\nOffers four versatile modes &#8212; laptop, tablet, tent and stand. Lenovo Transition automatically switches specific applications to full screen when changing from PC to tablet, tent or stand position.'}, {'feature': 'AMD Radeon 7 Graphics\nIntegrated graphics chipset with shared video memory provides solid image quality for Internet use, movies, basic photo editing and casual gaming.'}, {'feature': '256GB solid state drive (SSD)\nWhile offering less storage space than a hard drive, a flash-based SSD has no moving parts, resulting in faster start-up times and data access, no noise, and reduced heat production and power draw on the battery.'}, {'feature': '8GB system memory for advanced multitasking\nSubstantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.'}, {'feature': 'Weighs 2.9 lbs. and measures 0.7"" thin\nUltrathin and ultralight for maximum portability, featuring a smaller screen size and omitting the DVD/CD drive to achieve the compact form factor. Lithium-ion battery.'}, {'feature': 'Aluminum chassis\nOffers a sleek look.'}, {'feature': 'Wireless/Wired connectivity (WiFi 6 - 802.11 ax)\nFlexible, dual-band connectivity w/ greater reliability thanks to two data streams and antennas. Connect to a Wi-Fi router to experience GB Wi-Fi speeds nearly 3X faster vs. standard Wi-Fi 5 w/ improved responsiveness for even more devices.'}, {'feature': 'Built-in HD webcam with dual array microphone\nMakes it easy to video chat with family and friends or teleconference with colleagues over Skype or other popular applications.'}, {'feature': 'Backlit keyboard for easy typing in dim or dark locations\nTouchpad with scroll and multitouch capability'}, {'feature': 'Built-in fingerprint reader\nStreamlines security settings for quick, typo-free access.'}, {'feature': 'Additional port\nHeadphone/microphone combo jack.'}, {'feature': 'Note: This laptop does not include a built-in DVD/CD drive.'}, {'feature': 'AMD, AMD Arrow logo and combinations thereof are trademarks of Advanced Micro Devices, Inc.'}]","The Lenovo&#8482; Yoga&#8482; 6 is an ultra-portable 2-in-1 that combines unique style with the powerful responsiveness of an AMD Ryzen&#8482; 5000 Series Mobile Processor, abundant memory and SSD storage. Enjoy a rich multimedia experience with the clarity of a 13.3"" FHD touchscreen display, and enveloping sound with Dolby Atmos&#174;-optimized stereo speakers.",Lenovo,82ND0009US/82ND006YUS,"Lenovo Yoga 6 13 2-in-1 13.3"" Touch Screen Laptop - AMD Ryzen 5 - 8GB Memory - 256GB SSD - Abyss Blue with Fabric Cover",749.99,562.99,,6455181,HardGood,195891983041
Almond,New,4.5,1516.0,,"[{'feature': 'Windows 11 Home in S Mode\nExperience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.'}, {'feature': '15.6"" HD multitouch screen\nTypical 1366 x 768 HD resolution. Natural finger-touch navigation makes the most of Windows 11. Energy-efficient LED backlight.'}, {'feature': '11th Generation Intel&#174; Core&#8482; i3-1115G4 Processor\nSmart dual-core, four-way processing performance for HD-quality computing.'}, {'feature': '8GB system memory for advanced multitasking\nSubstantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.'}, {'feature': '256GB Solid State Drive (NVMe TLC)\nSave files fast and store more data. With massive amounts of storage and advanced communication power, NVMe TLC SSDs are great for major gaming applications, multiple servers, daily backups, and more.'}, {'feature': 'Intel UHD Graphics\nOn-processor graphics with shared video memory provide everyday image quality for Internet use, basic photo editing and casual gaming.'}, {'feature': 'Weighs 4.07lbs. and measures 0.78"" thin\nThin and light design with DVD/CD drive omitted for improved portability. 2-cell lithium polymer battery.'}, {'feature': 'Wireless/Wired connectivity (WiFi 5 - 802.11 ax)\nFlexible, dual-band connectivity with greater reliability thanks to two data streams and antennas. Connect to a Wi-Fi router to experience GB Wi-Fi speeds nearly 3X faster vs. standard Wi-Fi 5 with improved responsiveness for even more devices.'}, {'feature': 'HDMI output expands your viewing options\nConnect to an HDTV or high-def monitor to set up two screens side by side or just see more of the big picture.'}, {'feature': 'Built-in 720p webcam with Privacy Shutter\nMakes it easy to video chat with family and friends or teleconference with colleagues over Skype or other popular applications. Slide the Privacy Shutter closed for peace of mind when you&#8217;re not using your webcam.'}, {'feature': ""Almond\nAdds subtle style to the laptop's lid.""}, {'feature': 'Basic software package included\n30-day trial of Microsoft Office and McAfee LiveSafe.'}, {'feature': 'Additional Ports\nHeadphone/microphone combo jack.'}, {'feature': 'This laptop does not include a built-in DVD/CD drive.'}, {'feature': 'Intel, Pentium, Celeron, Core, Atom, Ultrabook, Intel Inside and the Intel Inside logo are trademarks or registered trademarks of Intel Corporation or its subsidiaries in the United States and other countries.'}]","Engineered for long-lasting performance, the Lenovo&#8482; IdeaPad&#8482; 3 is the perfect laptop for your everyday tasks with features that you can depend on.",Lenovo,81X800KLUS,"Lenovo - IdeaPad 3 15"" HD Touch Screen Laptop - Intel Core i3-1115G4 - Intel UHD Graphics - 8GB Memory - 256GB SSD - Almond",499.99,499.99,,6497829,HardGood,196378822709
