address,address2,city,country,lat,lng,name,longName,phone,fullPostalCode,region,storeId,storeType
860 BRICKWORKS DR,,LEETSDALE,US,,,VS DPAD 743 PITT DLV,VS 743 PITTSBURGH DELIVERY,999-999-9999,15056-1030,PA,9808,Virtual Experience
5000 Alicia Dr,,Bethel Park,US,40.34646,-80.04468,SOUTH HILLS PA,South Hills,412-835-1255,15102-1848,PA,586,Big Box
200 Mall Circle Dr,,Monroeville,US,40.4312,-79.7999,MONROEVILLE PA,Monroeville,412-856-7344,15146-2204,PA,432,Big Box
473 Clairton Blvd,,Pittsburgh,US,40.33486,-79.94469,CENTURY III PA,Century III,412-650-6240,15236-3827,PA,588,Big Box
4801 McKnight Rd,,Pittsburgh,US,40.52348,-80.0068,NORTH HILLS PA,North Hills,412-635-6110,15237-3423,PA,585,Big Box
430 Home Dr,,North Fayette Twsp.,US,40.45265,-80.18156,NORTH FAYETTE PA,North Fayette,412-490-2080,15275-1204,PA,584,Big Box
125 Donohoe Rd,,Greensburg,US,40.30491,-79.50947,GREENSBURG PA,Greensburg,724-838-8901,15601-6986,PA,595,Big Box
430 Town Centre Dr,,Johnstown,US,40.27781,-78.84265,JOHNSTOWN PA,Johnstown,814-262-4699,15904-2856,PA,1267,Big Box
1000 CRANBERRY SQUARE DR,,CRANBERRY TOWNSHIP,US,,,IHA MARKET 24,IHA MARKET 24,888-237-8289,16066-6143,PA,3124,In Home Advisor
1000 Cranberry Square Dr,,Cranberry Township,US,40.69121,-80.1047,CRANBERRY PA,Cranberry,724-778-8300,16066-6143,PA,825,Big Box
6650 Peach St,,Erie,US,42.05709,-80.0922,ERIE PA,Erie,814-860-8487,16509-7710,PA,597,Big Box
1721 Osgood Dr,,Altoona,US,40.49181,-78.38342,ALTOONA PA,Altoona,814-949-6750,16602-6547,PA,1015,Big Box
1650 N Atherton St,,State College,US,40.80682,-77.89483,STATE COLLEGE PA,State College,814-237-5610,16803-1416,PA,369,Big Box
6416 Carlisle Pike,Ste 3400,Mechanicsburg,US,40.24764,-77.00646,MECHANICSBURG PA,Mechanicsburg,717-795-1741,17050-2787,PA,1478,Big Box
5000 Jonestown Rd,,Harrisburg,US,40.30787240771199,-76.80546320714888,HARRISBURG EAST PA,Harrisburg East,717-651-0980,17112-2921,PA,547,Big Box
2865 Concord Rd,,York,US,39.98488,-76.67117,YORK PA,York,717-840-4530,17402-7007,PA,1087,Big Box
1700 Fruitville Pike,Ste G,Lancaster,US,40.069057,-76.321803,LANCASTER PA,Lancaster,717-391-7459,17601-4098,PA,1197,Big Box
110 Marketplace Blvd,,Selinsgrove,US,40.84081,-76.8315,SELINSGROVE PA,Selinsgrove,570-372-2639,17870-2400,PA,1794,Big Box
4413 Birkland Pl,,Easton,US,40.65766,-75.2858,BETHLEHEM PA,Bethlehem,610-250-2689,18045-4701,PA,1403,Big Box
1504 Macarthur Rd,,Whitehall,US,40.62845,-75.48551,WHITEHALL PA,Whitehall,610-432-6956,18052-5713,PA,587,Big Box
300 Shoppes Stroud,,Stroudsburg,US,40.98911,-75.23324,STROUDSBURG PA,Stroudsburg,570-476-1421,18360-3166,PA,1442,Big Box
959 Viewmont Dr,,Dickson City,US,41.4553,-75.65106,SCRANTON PA,Scranton,570-346-8977,18519-1663,PA,341,Big Box
449 Arena Hub Plz,,Wilkes Barre,US,41.23896,-75.84081,WILKES BARRE PA,Wilkes Barre,570-819-0719,18702-6839,PA,342,Big Box
646 N West End Blvd,,Quakertown,US,40.46087,-75.37182,QUAKERTOWN PA,Quakertown,215-804-0039,18951-4100,PA,1395,Big Box
510 STATION AVE,WOODHAVEN INDUSTRIAL PARK,BENSALEM,US,,,VS DPAD PHI 2448 DLV,VS PHILADELPHIA 2448 DELIVERY,999-999-9999,19020-7142,PA,9818,Virtual Experience
310 Commerce Blvd,The Court at Oxford Valley,Fairless Hills,US,40.18847,-74.86542,OXFORD VALLEY PA,Oxford Valley,215-949-3006,19030-1024,PA,577,Big Box
642 Baltimore Pike,,Springfield,US,39.92008,-75.32778,SPRINGFIELD PA,Springfield,610-604-7474,19064-3030,PA,582,Big Box
1130 EASTON RD,STE B,WILLOW GROVE,US,,,IHA MARKET 25,IHA MARKET 25,800-548-0828,19090-1932,PA,3125,In Home Advisor
1130 Easton Rd,,Willow Grove,US,40.15733,-75.12466,WILLOW GROVE PA,Willow Grove,215-784-7020,19090-1932,PA,576,Big Box
9733 Roosevelt Blvd,,Philadelphia,US,40.082059284955434,-75.0235969642703,NE PHILADELPHIA PA,NE Philadelphia,215-676-7206,19114-1010,PA,589,Big Box
2300 S Christopher Columbus Bl,,Philadelphia,US,39.91565,-75.13889,S PHILADELPHIA PA,South Philadelphia,215-336-2212,19148-4206,PA,898,Big Box
10 Quarry Rd,Spc G1,Downingtown,US,40.017082779700075,-75.67650029053964,DOWNINGTOWN PA,Downingtown,610-873-2312,19335-3420,PA,1764,Big Box
400 Front St,Ste 4,Collegeville,US,40.16357,-75.48094,COLLEGEVILLE PA,Collegeville,610-409-7879,19426-4909,PA,1193,Big Box
801 Bethlehem Pike,,North Wales,US,40.2376,-75.23856,MONTGOMERYVILLE  PA,Montgomeryville,215-855-3528,19454-2071,PA,525,Big Box
2010 Chemical Rd,,Plymouth Meeting,US,40.10288,-75.29518,PLYMOUTH MEETING PA,Plymouth Meeting,610-567-2835,19462-1707,PA,448,Big Box
1701 Crossing Dr,Berkshire Crossing,Wyomissing,US,40.3482,-75.96624,READING PA,Reading,610-375-3340,19610-1212,PA,580,Big Box
