id,cust_id,store_id,products,transaction_date
0,688,34,"['CEL-00000239', 'FIT-00001133']",1991-02-28
1,279,31,"['FIT-00001244', 'FIT-00002133', 'FIT-00001883', 'CEL-00000117']",2000-06-24
2,787,3,"['LAP-00000242', 'CEL-00000578']",1999-03-06
3,658,11,"['LAP-00000793', 'FIT-00001367', 'FIT-00000829']",1996-10-09
4,836,24,"['FIT-00001722', 'AUT-00000793']",1998-03-29
5,433,1,"['FIT-00000482', 'CEL-00000501']",1996-08-31
6,8,19,"['AUT-00001299', 'AUT-00000318']",1994-12-09
7,610,17,['AUT-00000600'],1998-09-16
8,397,29,"['CEL-00000590', 'FIT-00000818', 'FIT-00001595']",1991-05-05
9,132,19,"['FIT-00001995', 'AUT-00000659', 'FIT-00000112']",1992-10-11
10,482,22,"['LAP-00000715', 'LAP-00000199', 'FIT-00000066', 'AUT-00000424']",1991-01-29
11,786,9,"['FIT-00000693', 'FIT-00002358', 'CEL-00000110', 'FIT-00001232']",1998-11-18
12,623,25,"['AUT-00001335', 'LAP-00000611', 'LAP-00000594']",1994-11-29
13,796,31,"['AUT-00000073', 'AUT-00000897', 'CEL-00000384']",1996-11-29
14,566,13,"['CEL-00000037', 'FIT-00000942']",1992-09-21
15,215,10,['FIT-00000168'],1991-04-16
16,860,33,"['FIT-00001757', 'AUT-00000024']",1991-02-13
17,657,30,"['AUT-00001370', 'CEL-00000435', 'FIT-00001828', 'FIT-00002395']",1991-05-02
18,820,18,"['AUT-00000619', 'CEL-00000535', 'LAP-00000505']",1996-02-12
19,881,34,"['FIT-00000036', 'LAP-00000737', 'LAP-00000744']",1991-07-23
20,417,14,['CEL-00000323'],1994-09-28
21,116,0,"['FIT-00002232', 'CEL-00000324', 'FIT-00001275']",1996-11-05
22,191,27,['FIT-00000866'],1991-02-28
23,514,3,"['CEL-00000309', 'FIT-00000713', 'CEL-00000662', 'FIT-00001351']",1990-08-01
24,415,32,"['FIT-00001664', 'FIT-00000159', 'LAP-00000359', 'FIT-00001470']",1993-01-11
25,39,26,['FIT-00001428'],1990-01-14
26,856,27,['FIT-00001639'],2000-12-07
27,428,14,"['AUT-00000834', 'FIT-00000746', 'AUT-00000177', 'FIT-00000626']",2000-11-14
28,67,12,"['AUT-00000128', 'CEL-00000436', 'LAP-00000134']",1994-10-23
29,285,18,"['AUT-00000156', 'AUT-00000720', 'CEL-00000262', 'FIT-00000345']",2000-02-12
