color,condition,customerReviewAverage,customerReviewCount,description,features,longDescription,manufacturer,modelNumber,name,regularPrice,salePrice,shortDescription,sku,type,upc
(PRODUCT)RED,New,4.7,364.0,,"[{'feature': '6.1-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185; Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular .'}, {'feature': '&#178; The display has rounded corners. When measured as a rectangle, the screen is 6.06 inches diagonally. Actual viewable area is less.'}, {'feature': '&#179; Claim based on iPhone 12 Ceramic Shield front compared with previous-generation iPhone.'}, {'feature': '&#8308; Accessories are sold separately.'}, {'feature': '&#8309; iPhone 12 is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12. 5G to download movies on the fly and stream high-quality video.&#185; Beautifully bright 6.1-inch Super Retina XDR display.&#178; Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; Let the fun begin.",Apple,MGH83LL/A,Apple - iPhone 12 5G 64GB - (PRODUCT)RED (AT&T),629.99,629.99,,6009677,HardGood,400060096775
(PRODUCT)RED,New,4.7,139.0,,"[{'feature': '5.4-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185;Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular'}, {'feature': '&#178;The display has rounded corners. When measured as a rectangle, the screen is 5.42 inches diagonally. Actual viewable area is less'}, {'feature': '&#179;Claim based on iPhone 12 mini Ceramic Shield front compared with previous-generation iPhone'}, {'feature': '&#8308;Accessories are sold separately.'}, {'feature': '&#8309;iPhone 12 mini is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12 mini packs big features in a 5.4-inch design.&#178; 5G to download movies on the fly and stream high-quality video.&#185; A beautifully bright and compact Super Retina XDR display. Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision HDR video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; It&#8217;s big news for mini.",Apple,MG8H3LL/A,Apple - iPhone 12 mini 5G 64GB - (PRODUCT)RED (AT&T),629.99,629.99,,6009729,HardGood,400060097291
(PRODUCT)RED,New,4.6,178.0,,"[{'feature': '6.1-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras;  Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185; Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular .'}, {'feature': '&#178; The display has rounded corners. When measured as a rectangle, the screen is 6.06 inches diagonally. Actual viewable area is less.'}, {'feature': '&#179; Claim based on iPhone 12 Ceramic Shield front compared with previous-generation iPhone.'}, {'feature': '&#8308; Accessories are sold separately.'}, {'feature': '&#8309; iPhone 12 is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12. 5G to download movies on the fly and stream high-quality video.&#185; Beautifully bright 6.1-inch Super Retina XDR display.&#178; Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; Let the fun begin.",Apple,MGH83LL/A,Apple - iPhone 12 5G 64GB - (PRODUCT)RED (Sprint),629.99,629.99,,6009784,HardGood,400060097840
(PRODUCT)RED,New,4.7,69.0,,"[{'feature': '5.4-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185;Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular'}, {'feature': '&#178;The display has rounded corners. When measured as a rectangle, the screen is 5.42 inches diagonally. Actual viewable area is less'}, {'feature': '&#179;Claim based on iPhone 12 mini Ceramic Shield front compared with previous-generation iPhone'}, {'feature': '&#8308;Accessories are sold separately.'}, {'feature': '&#8309;iPhone 12 mini is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12 mini packs big features in a 5.4-inch design.&#178; 5G to download movies on the fly and stream high-quality video.&#185; A beautifully bright and compact Super Retina XDR display. Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision HDR video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; It&#8217;s big news for mini.",Apple,MG8H3LL/A,Apple - iPhone 12 mini 5G 64GB - (PRODUCT)RED (Sprint),629.99,629.99,,6009835,HardGood,400060098359
(PRODUCT)RED,New,4.7,601.0,,"[{'feature': '6.1-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras;  Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185; Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular .'}, {'feature': '&#178; The display has rounded corners. When measured as a rectangle, the screen is 6.06 inches diagonally. Actual viewable area is less.'}, {'feature': '&#179; Claim based on iPhone 12 Ceramic Shield front compared with previous-generation iPhone.'}, {'feature': '&#8308; Accessories are sold separately.'}, {'feature': '&#8309; iPhone 12 is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12. 5G to download movies on the fly and stream high-quality video.&#185; Beautifully bright 6.1-inch Super Retina XDR display.&#178; Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; Let the fun begin.",Apple,MGH83LL/A,Apple - iPhone 12 5G 64GB - (PRODUCT)RED (Verizon),629.99,629.99,,6009899,HardGood,400060098991
(PRODUCT)RED,New,4.7,325.0,,"[{'feature': '5.4-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185;Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular'}, {'feature': '&#178;The display has rounded corners. When measured as a rectangle, the screen is 5.42 inches diagonally. Actual viewable area is less'}, {'feature': '&#179;Claim based on iPhone 12 mini Ceramic Shield front compared with previous-generation iPhone'}, {'feature': '&#8308;Accessories are sold separately.'}, {'feature': '&#8309;iPhone 12 mini is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12 mini packs big features in a 5.4-inch design.&#178; 5G to download movies on the fly and stream high-quality video.&#185; A beautifully bright and compact Super Retina XDR display. Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision HDR video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; It&#8217;s big news for mini.",Apple,MG8H3LL/A,Apple - iPhone 12 mini 5G 64GB - (PRODUCT)RED (Verizon),629.99,629.99,,6009952,HardGood,400060099523
(PRODUCT)RED,New,4.7,47.0,,"[{'feature': '5.4-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185;Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular'}, {'feature': '&#178;The display has rounded corners. When measured as a rectangle, the screen is 5.42 inches diagonally. Actual viewable area is less'}, {'feature': '&#179;Claim based on iPhone 12 mini Ceramic Shield front compared with previous-generation iPhone'}, {'feature': '&#8308;Accessories are sold separately.'}, {'feature': '&#8309;iPhone 12 mini is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12 mini packs big features in a 5.4-inch design.&#178; 5G to download movies on the fly and stream high-quality video.&#185; A beautifully bright and compact Super Retina XDR display. Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision HDR video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; It&#8217;s big news for mini.",Apple,MG8H3LL/A,Apple - iPhone 12 mini 5G 64GB - (PRODUCT)RED (T-Mobile),629.99,629.99,,6418387,HardGood,400064183877
(PRODUCT)RED,New,4.7,38.0,,"[{'feature': '6.1-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras;\n Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185; Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular .'}, {'feature': '&#178; The display has rounded corners. When measured as a rectangle, the screen is 6.06 inches diagonally. Actual viewable area is less.'}, {'feature': '&#179; Claim based on iPhone 12 Ceramic Shield front compared with previous-generation iPhone.'}, {'feature': '&#8308; Accessories are sold separately.'}, {'feature': '&#8309; iPhone 12 is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12. 5G to download movies on the fly and stream high-quality video.&#185; Beautifully bright 6.1-inch Super Retina XDR display.&#178; Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; Let the fun begin.",Apple,MGH83LL/A,Apple - iPhone 12 5G 64GB - (PRODUCT)RED (T-Mobile),629.99,629.99,,6418408,HardGood,400064184089
(PRODUCT)RED,New,4.7,25.0,,"[{'feature': '6.1-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras;\n Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185; Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular .'}, {'feature': '&#178; The display has rounded corners. When measured as a rectangle, the screen is 6.06 inches diagonally. Actual viewable area is less.'}, {'feature': '&#179; Claim based on iPhone 12 Ceramic Shield front compared with previous-generation iPhone.'}, {'feature': '&#8308; Accessories are sold separately.'}, {'feature': '&#8309; iPhone 12 is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12. 5G to download movies on the fly and stream high-quality video.&#185; Beautifully bright 6.1-inch Super Retina XDR display.&#178; Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; Let the fun begin.",Apple,MGHE3LL/A,Apple - iPhone 12 5G 128GB - (PRODUCT)RED (T-Mobile),679.99,679.99,,6418415,HardGood,400064184157
(PRODUCT)RED,New,5.0,1.0,,"[{'feature': '6.1-inch Super Retina XDR display&#178;'}, {'feature': 'Ceramic Shield, tougher than any smartphone glass'}, {'feature': '5G for superfast downloads and high-quality streaming&#185;'}, {'feature': 'A14 Bionic chip, the fastest chip ever in a smartphone'}, {'feature': 'Advanced dual-camera system with 12MP Ultra Wide and Wide cameras;\n Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording'}, {'feature': '12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording'}, {'feature': 'Industry-leading IP68 water resistance&#8309;'}, {'feature': 'Supports MagSafe accessories for easy attach and faster wireless charging&#8308;'}, {'feature': 'iOS 14 with redesigned widgets on the Home screen, all-new App Library, App Clips, and more'}, {'feature': '&#185; Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular .'}, {'feature': '&#178; The display has rounded corners. When measured as a rectangle, the screen is 6.06 inches diagonally. Actual viewable area is less.'}, {'feature': '&#179; Claim based on iPhone 12 Ceramic Shield front compared with previous-generation iPhone.'}, {'feature': '&#8308; Accessories are sold separately.'}, {'feature': '&#8309; iPhone 12 is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions.'}, {'feature': 'Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.'}]","iPhone 12. 5G to download movies on the fly and stream high-quality video.&#185; Beautifully bright 6.1-inch Super Retina XDR display.&#178; Ceramic Shield with 4x better drop performance.&#179; Incredible low-light photography with Night mode on all cameras. Cinema-grade Dolby Vision video recording, editing, and playback. Powerful A14 Bionic chip. And new MagSafe accessories for easy attach and faster wireless charging.&#8308; Let the fun begin.",Apple,MGHK3LL/A,Apple - iPhone 12 5G 256GB - (PRODUCT)RED (T-Mobile),779.99,779.99,,6418424,HardGood,400064184249
