color,condition,customerReviewAverage,customerReviewCount,description,features,longDescription,manufacturer,modelNumber,name,regularPrice,salePrice,shortDescription,sku,type,upc
0,New,,,,"[{'feature': 'Blade system\nNose and ear trimmer with advanced 3-bevel blade system cuts from the top, middle, and bottom to thoroughly and safely remove unsightly hair.'}, {'feature': 'Diamond Shaped\nPatent-pending diamond-shaped, 360 degree capture blade protects against nicks and cuts - guaranteed.'}, {'feature': 'Detail and Eyebrow trimmer\nDetail and eyebrow trimmer gives you the power to perfect touch-ups and fine points-from your brows to your mustache to your neckline.'}, {'feature': 'Handle\nProfessional metal handle with nonslip grip provides complete comfort and control.'}, {'feature': 'Cordless\nCordless convenience lets you trim anywhere, anytime for grooming on the go.  (includes 1 AA battery).'}, {'feature': 'Maintenance\nWashable heads and portable design make this grooming essential easy to maintain wherever your busy life takes you.'}, {'feature': 'Case\nDurable zippered storage case keeps your trimmer kit neatly organized and ready for travel'}]","Get the portable and powerful trimmer you can count on for manscaping made easy. A diamond-shaped 3-bevel blade system removes nose and ear hair safely and thoroughly with no nicks. And a detail and eyebrow trimmer with 2 guide combs perfects your brows, 'stache, and neckline.",Conair,PG7500,"Conair - Metal 3-bevel blade Nose, Ear & Eyebrow Trimmer - Dry - 0",29.99,29.99,,6520368,HardGood,074108468048
27,New,4.0,1.0,,"[{'feature': '+/- 5% accurate power readings.\nControlled and Consistent'}, {'feature': 'Electromagnetic resistance provides a measured workout every time.\nNo External Sensors Required'}, {'feature': 'Measures speed, cadence and power\nSeamless Integration'}, {'feature': 'Connects to indoor cycling apps with dual ANT+ FE-C and Bluetooth FTMS standards.'}]","Whether you want to attend a group ride in Zwift, climb the Dolomites in ROUVY or simply need a sweat session, the M2 smart trainer can get you there. All you need is your bike, the M2, your favorite indoor cycling app and device of choice. This do-it-all, smart bike trainer is capable of replicating any workout thrown its way, up to 1500 watts and a 15% climbing grade. Simply connect to your indoor cycling application of choice via integrated dual-band ANT+ FE-C and Bluetooth, and let the M2&#8217;s electromagnetic response system do the rest. And thanks to integrated speed, cadence and power data, you can track and record performance data without extra external sensors. Plus, our innovative clutch knob ensures perfect tire-to roller connection for every single ride.",Saris,9930T,Saris - M2 Smart Trainer - 27,549.99,549.99,,6454601,HardGood,012527018697
36,New,3.0,1.0,,"[{'feature': 'Featuring Saris Nfinity Technology, the MP1 brings the freedom of riding outside to training indoors.\nSaris MP1 Nfinity Movement Platform'}, {'feature': 'multidimensional movement, including fore/aft and side-to-side, recreates motion experienced outdoors\nMovement for All'}, {'feature': 'compatible with a variety of training configurations; bikes, desks and nearly every trainer available.\nTrailblazing'}, {'feature': 'he MP1 Nfinity ushers in a type of riding never seen or felt indoors before\nPure Fun'}, {'feature': 'a responsive, immersive and authentic training experience that&#8217;s anything but boring.\nGet Comfortable'}, {'feature': 'reduces pressure on touch points so you can put in the miles.'}]",limited,Saris,9789T,Saris - MP1 Nfinity Trainer Platform - 36,1199.99,1199.99,,6454607,HardGood,012527018734
All-Black,New,4.2,192.0,,"[{'feature': 'Modern, sleek Smart Electric Toothbrush, 100% recyclable paper packaging'}, {'feature': 'Bluetooth&#174; Smart Motor tracks brushing, coaches better habits via quip app'}, {'feature': 'Earn amazing rewards, like free refills, products, & gift cards'}, {'feature': 'Sensitive sonic vibrations, 2-minute timer, 30-second pulses'}, {'feature': 'Slim, lightweight plastic handle, replaceable soft-bristle brush head'}, {'feature': '3-month charge on a AAA battery (no wires or charger), plus travel cover'}, {'feature': 'ADA-Accepted. Helps remove plaque, prevent & reduce gingivitis'}, {'feature': 'Lifetime warranty & first refill free with subscription at getquip.com'}, {'feature': 'Best with quip Mint Toothpaste, Floss String, Floss Pick, & Mouthwash'}]","Brush smart, get rewarded. The quip Smart Electric Toothbrush Starter Kit earns you amazing rewards (like free brush heads, products, gift cards, and more) as you track and coach better oral health habits with the free quip app. It has a Bluetooth&#174; Smart Motor, premium All-Color design, and the same timed sonic vibrations as our original ADA-Accepted brush. quip's simple and sustainable brush also includes a premium handle you keep for life, a replaceable soft-bristle brush head (tongue scraper on back), a replaceable AAA battery, and a multi-use travel cover that doubles as a stand and mirror mount. Connect one or more Bluetooth&#174; Smart Brushes to the quip app (iOS & Android), then automatically track your brushing routine offline: duration, coverage, strokes and intensity. To help improve your oral health habits, tap the app for tailored tips, coaching, and more. You can also earn rewards you'll love just for brushing two minutes, twice a day. Unlike some electric brushes that are big and bulky, quip is slim and lightweight with a long-lasting 3-month battery (no wires or bulky charger). Simply click the ""q"" button to power a gentle, effective clean with all the guiding features dentists recommend: sensitive sonic vibrations, 2-minute timer, 30 second pulses. The sleek, travel-ready design easily packs into any pocket, purse, or bag for on the go. Plus, it's water-resistant and shower-safe.  Like most quip oral care products, the quip Smart Electric Toothbrush is American Dental Association-Accepted, and shown to help remove plaque, and help prevent and reduce gingivitis. On a refill plan, quip automatically delivers a fresh Brush Head Refill every 3 months for $5 with free shipping and a lifetime warranty. Subscribe to get your first refill free, and see why quip has over 20,000 5-star reviews. Better oral health, made simple, affordable, and enjoyable.",Quip,920-00078,"Quip - Metal Smart Electric Toothbrush Starter Kit - 2-Minute Timer, Bluetooth, Free App + Travel Case - All-Black",50.0,50.0,,6436351,HardGood,857576008196
All-Pink,New,4.4,20.0,,"[{'feature': 'Modern, sleek Smart Electric Toothbrush, 100% recyclable paper packaging'}, {'feature': 'Bluetooth&#174; Smart Motor tracks brushing, coaches better habits via quip app'}, {'feature': 'Earn amazing rewards, like free refills, products, & gift cards'}, {'feature': 'Sensitive sonic vibrations, 2-minute timer, 30-second pulses'}, {'feature': 'Slim, lightweight plastic handle, replaceable soft-bristle brush head'}, {'feature': '3-month charge on a AAA battery (no wires or charger), plus travel cover'}, {'feature': 'ADA-Accepted. Helps remove plaque, prevent & reduce gingivitis'}, {'feature': 'Lifetime warranty & first refill free with subscription at getquip.com'}, {'feature': 'Best with quip Mint Toothpaste, Floss String, Floss Pick, & Mouthwash'}]","Brush smart, get rewarded. The quip Smart Electric Toothbrush Starter Kit earns you amazing rewards (like free brush heads, products, gift cards, and more) as you track and coach better oral health habits with the free quip app. It has a Bluetooth&#174; Smart Motor, premium All-Color design, and the same timed sonic vibrations as our original ADA-Accepted brush. quip's simple and sustainable brush also includes a premium handle you keep for life, a replaceable soft-bristle brush head (tongue scraper on back), a replaceable AAA battery, and a multi-use travel cover that doubles as a stand and mirror mount. Connect one or more Bluetooth&#174; Smart Brushes to the quip app (iOS & Android), then automatically track your brushing routine offline: duration, coverage, strokes and intensity. To help improve your oral health habits, tap the app for tailored tips, coaching, and more. You can also earn rewards you'll love just for brushing two minutes, twice a day. Unlike some electric brushes that are big and bulky, quip is slim and lightweight with a long-lasting 3-month battery (no wires or bulky charger). Simply click the ""q"" button to power a gentle, effective clean with all the guiding features dentists recommend: sensitive sonic vibrations, 2-minute timer, 30 second pulses. The sleek, travel-ready design easily packs into any pocket, purse, or bag for on the go. Plus, it's water-resistant and shower-safe.  Like most quip oral care products, the quip Smart Electric Toothbrush is American Dental Association-Accepted, and shown to help remove plaque, and help prevent and reduce gingivitis. On a refill plan, quip automatically delivers a fresh Brush Head Refill every 3 months for $5 with free shipping and a lifetime warranty. Subscribe to get your first refill free, and see why quip has over 20,000 5-star reviews. Better oral health, made simple, affordable, and enjoyable.",Quip,920-00130,"Quip - Metal Smart Electric Toothbrush Starter Kit - 2-Minute Timer, Bluetooth, Free App + Travel Case - All-Pink",50.0,50.0,,6450838,HardGood,857576008714
All-White,New,4.2,192.0,,"[{'feature': 'Modern, sleek Smart Electric Toothbrush, 100% recyclable paper packaging'}, {'feature': 'Bluetooth&#174; Smart Motor tracks brushing, coaches better habits via quip app'}, {'feature': 'Earn amazing rewards, like free refills, products, & gift cards'}, {'feature': 'Sensitive sonic vibrations, 2-minute timer, 30-second pulses'}, {'feature': 'Slim, lightweight plastic handle, replaceable soft-bristle brush head'}, {'feature': '3-month charge on a AAA battery (no wires or charger), plus travel cover'}, {'feature': 'ADA-Accepted. Helps remove plaque, prevent & reduce gingivitis'}, {'feature': 'Lifetime warranty & first refill free with subscription at getquip.com'}, {'feature': 'Best with quip Mint Toothpaste, Floss String, Floss Pick, & Mouthwash'}]","Brush smart, get rewarded. The quip Smart Electric Toothbrush Starter Kit earns you amazing rewards (like free brush heads, products, gift cards, and more) as you track and coach better oral health habits with the free quip app. It has a Bluetooth&#174; Smart Motor, premium All-Color design, and the same timed sonic vibrations as our original ADA-Accepted brush. quip's simple and sustainable brush also includes a premium handle you keep for life, a replaceable soft-bristle brush head (tongue scraper on back), a replaceable AAA battery, and a multi-use travel cover that doubles as a stand and mirror mount. Connect one or more Bluetooth&#174; Smart Brushes to the quip app (iOS & Android), then automatically track your brushing routine offline: duration, coverage, strokes and intensity. To help improve your oral health habits, tap the app for tailored tips, coaching, and more. You can also earn rewards you'll love just for brushing two minutes, twice a day. Unlike some electric brushes that are big and bulky, quip is slim and lightweight with a long-lasting 3-month battery (no wires or bulky charger). Simply click the ""q"" button to power a gentle, effective clean with all the guiding features dentists recommend: sensitive sonic vibrations, 2-minute timer, 30 second pulses. The sleek, travel-ready design easily packs into any pocket, purse, or bag for on the go. Plus, it's water-resistant and shower-safe.  Like most quip oral care products, the quip Smart Electric Toothbrush is American Dental Association-Accepted, and shown to help remove plaque, and help prevent and reduce gingivitis. On a refill plan, quip automatically delivers a fresh Brush Head Refill every 3 months for $5 with free shipping and a lifetime warranty. Subscribe to get your first refill free, and see why quip has over 20,000 5-star reviews. Better oral health, made simple, affordable, and enjoyable.",Quip,920-00079,"Quip - Plastic Smart Electric Toothbrush Starter Kit - 2-Minute Timer, Bluetooth, Free App + Travel Case - All-White",45.0,22.99,,6436352,HardGood,857576008424
All-Yellow,New,4.3,59.0,,"[{'feature': 'Modern, sleek Smart Electric Toothbrush, 100% recyclable paper packaging'}, {'feature': 'Bluetooth&#174; Smart Motor tracks brushing, coaches better habits via quip app'}, {'feature': 'Earn amazing rewards, like free refills, products, & gift cards'}, {'feature': 'Sensitive sonic vibrations, 2-minute timer, 30-second pulses'}, {'feature': 'Small replaceable brush head, easy-to-grip rubber handle'}, {'feature': '3-month charge on a AAA battery (no wires or charger), plus travel cover'}, {'feature': 'ADA-Accepted. Helps remove plaque, prevent & reduce gingivitis'}, {'feature': 'Lifetime warranty & first refill free with subscription at getquip.com'}, {'feature': 'Best with quip Watermelon Toothpaste & Floss String'}]","Smarty pants? Not a bad thing when brushing. The quip Kids Smart Electric Toothbrush Starter Kit earns amazing rewards (like free brush head refills, products, and gift cards) as you track and coach kids' brushing with the free quip app. It has a Bluetooth&#174; Smart Motor, and the same sized-down features with timed sonic vibrations as our original ADA-Accepted brush. quip's simple and sustainable kids brush also includes a premium rubber handle you keep for life, a replaceable small brush head (soft bristles, tongue scraper on back), a replaceable AAA battery, and a multi-use travel cover that doubles as a stand and mirror mount. Connect one or more Bluetooth&#174; Smart Brushes to the quip app (iOS & Android), then automatically track your child's brushing offline: duration, coverage, strokes, and intensity. To help kids improve their oral health habits, tap the app for tailored tips and coaching that make their routine feel like less of a chore. Kids can also earn rewards they'll love just for brushing two minutes, twice a day. Unlike some kids electric brushes that are big and bulky, quip is slim and lightweight with a non-slip grip for greater control, and a kid-friendly brush head to easily clean small mouths. Simply click the ""q"" button to power a gentle, effective clean with all the guiding features dentists recommend: sensitive sonic vibrations, 2-minute timer, 30-second pulses. The sleek, travel-ready design easily packs into any pocket, bag, or backpack for on the go. Plus, it's water-resistant and shower-safe. For ages 3+. Adult supervision advised for under 8.  Like most quip oral care products, the quip Kids Smart Electric Toothbrush is American Dental Association-Accepted, and shown to help remove plaque, and help prevent and reduce gingivitis. On a refill plan, quip automatically delivers a fresh Small Brush Head Refill every 3 months for $5 with free shipping and a lifetime warranty. Subscribe to get your first refill free, and see why quip has over 20,000 5-star reviews. Better oral health, made simple, affordable, and enjoyable.",Quip,920-00080,"Quip - Rubber Kids Smart Electric Toothbrush Starter Kit - 2-Minute Timer, Bluetooth, Free App + Travel Case - All-Yellow",45.0,22.99,,6436353,HardGood,857576008431
Amber Toffee,New,4.6,34.0,,"[{'feature': 'Proprietary Blue Light filtering solution\nWe embed a naturally occurring blue light filtering ocular pigment into our lens, making it the perfect balance between a virtually clear and effective solution.'}, {'feature': ""Double sided, anti-glare coating\nWe apply a premium AR coating, to block ~100% of glare. A double sided, anti-reflective coating minimizes indirect light that bounces off the lens while maximizing direct light for truly superior optical clarity. Plus, with our grade A lenses, it's scratch resistant.""}, {'feature': 'Grade A ophthalmic\nOptical quality frames last longer. They are made with a hand finished organic acetate, which helps retain color and luster. They fit better and wear well.'}, {'feature': '100% UVA/UVB lenses\nOur lenses have the added benefit of blocking UV rays as well.'}]","At Felix Gray, we know that electronic devices are a necessary, and sometimes inevitable, part of our lives. That&#8217;s why, at Felix Gray, we offer the hardest-working Blue Light filtering glasses for the hardest-working individuals. We create effective, research-backed products to improve our relationship with technology because we truly care about our Digital Wellness. Felix Gray filters 15x more of the most impactful Blue Light than any other clear lenses. In doing so, we hope to empower us all to thrive in our modern world. Felix Gray's Roebling is a sophisticated circular frame that works on almost any face shape. The Roebling&#8217;s signature keyhole bridge and terrific frame sits perfectly and comfortably on your face. Whether you&#8217;re staring at a computer screen for extended periods of time or catching up with late-night reading on your tablet, Felix Gray&#8217;s Blue Light filtering glasses are just what you need to relieve symptoms of Digital Eye Strain and support your total well-being. Designed with the modern world in mind, these are our original, proprietary, and virtually clear Blue Light Glasses perfect for everyday wear.",Felix Gray,"ROEBLING, AMBER TOFFEE",Felix Gray - Roebling Blue Light Glasses (with case & cloth) - Amber Toffee,95.0,95.0,,6486989,HardGood,855706007521
Anodized Aluminum,New,3.0,2.0,,"[{'feature': 'Practically Invisible\nMade of micro-machined anodized medical-grade aluminum. So small that no one will know you&#8217;re wearing them.'}, {'feature': 'Superb Sound Clarity\nUsing the latest micro-speaker technology and silicon microphones to provide crystal-clear acoustics.'}, {'feature': 'Rechargeable\nPocket-size charging case with internal battery. Four hours in the charging case provides 16 hours of hearing aid use.'}, {'feature': 'App-Controlled for Personalization\nFour Programs: Mild-a most common hearing loss for people with trouble understanding speech; Moderate- more volume support; Bass Boost- a step stronger than Moderate, a boost in low frequency sounds such as vowels; Max- preset is Bass Boost with maximum volume'}, {'feature': 'Customer Experience Support Team\nTechnical Support Team of licensed specialists available to speak, chat, or email, directly with customers to assist with product use, set up, and troubleshooting concerns.'}]","fio is an in-canal hearing aid with convenient rechargeable technology for the active individual who is looking to maximize every moment of their lives.  Personalize the way you hear with the Lucid Hearing mobile app using one of our 4 pre-programmed settings or customizing with LucidShape.   The Lucid Hearing app feature LucidShape, allows the fio user to develop custom hearing levels for all types of environments making wearing fio a way to bring the user back into the conversation.   Big on sound quality and clarity, fio gets you back to the sounds you love. Welcome to a whole new world of hearing!",Lucid Hearing,HLT-FIO,Lucid Hearing - OTC fio Premium Rechargeable Hearing Aids - Anodized Aluminum,1699.99,999.99,,6506153,HardGood,810068830446
Antique Bronze + Dark Demi Temple Tips,New,,,,"[{'feature': 'Say Goodbye to Diopters\nOur patented 1Lens Readers support diopter strengths from +0.50 to +2.50 all in one lens!   No need to pick a diopter!'}, {'feature': 'Superior Lens Quality\nSuperior clarity and scratch-resistant lenses.'}, {'feature': 'Perfect Gift\nGive the gift that keeps on giving!  Everyone needs more than one pair and with so many styles to choose from you are guaranteed to give a pair they like!'}, {'feature': ""Style for Everyone\nOur 1Lens Readers offer frame shapes to suit everyone's own sense of style.  Get a pair for every occasion--at the office, out on the town, or just reading a book at home.""}, {'feature': 'Great colors to choose from\nWe have it all! From Gloss to Matte, to Crystal to Blended, to Bright to Cool, to Basic to Metal Embellishments & everything in between.'}, {'feature': ""Adjustment Period\nAs with all new adaptations, it could take a minute to allow your eyes and natural head position to accommodate the activities and reading you're doing in your 1Lens Readers.  After that, you are good to go.  Get ready to be amazed!""}, {'feature': 'Warranty\nAll frames are 100% customer satisfaction guaranteed and come with our Fortress Lifetime Warranty.'}]",You&#8217;ll be vibing a John Lennon look in the OLIVER. Our hip looking round wireframe have adjustable nose pads and holds our patented 1Lens Readers supporting diopter strengths from .5 to 2.5 all in one lens!  No need to pick a diopter!  Read every line of music when practicing with the band or just simply sending texts.,Kreedom,5OLI1212.02,"Kreedom - Oliver; 1Lens Readers, Supports +0.50 to +2.50 Diopters in One Lens, Revolutionary Patented Technology - Antique Bronze + Dark Demi Temple Tips",29.99,29.99,,6498611,HardGood,690700420620
