id,cust_id,store_id,products,transaction_date
0,248,34,"['AUT-00001173', 'AUT-00000275', 'FIT-00000190']",1997-07-18
1,521,28,"['AUT-00000230', 'LAP-00000032', 'FIT-00002251', 'AUT-00000349']",1996-10-21
2,342,30,"['AUT-00000135', 'FIT-00001030', 'CEL-00000476']",1996-02-27
3,887,29,"['AUT-00000838', 'FIT-00000147', 'AUT-00000864']",1992-07-12
4,444,11,"['FIT-00000176', 'CEL-00000229', 'LAP-00000324', 'CEL-00000648']",1995-01-15
5,178,29,"['FIT-00000278', 'AUT-00000590']",1995-04-04
6,775,11,"['AUT-00001324', 'FIT-00002086', 'AUT-00000422', 'FIT-00001788']",1997-11-21
7,643,2,"['CEL-00000311', 'AUT-00000594']",1999-07-21
8,915,15,['FIT-00001359'],1992-07-12
9,168,8,['AUT-00001340'],2000-01-08
10,987,25,"['LAP-00000163', 'FIT-00000246', 'AUT-00000096']",2000-10-15
11,965,29,"['AUT-00000733', 'LAP-00000379', 'FIT-00001021']",1999-05-21
12,523,10,"['LAP-00000641', 'AUT-00000128', 'FIT-00001336', 'FIT-00000863']",1999-06-11
13,944,20,"['FIT-00002465', 'CEL-00000010', 'FIT-00002052']",1999-08-28
14,564,23,"['AUT-00001155', 'FIT-00001068', 'FIT-00000044', 'FIT-00001722']",1993-03-15
15,794,24,['FIT-00001268'],1996-05-19
16,217,28,"['FIT-00002171', 'FIT-00002120', 'CEL-00000700']",2000-06-24
17,701,20,"['CEL-00000312', 'CEL-00000560', 'AUT-00000931']",1993-04-22
18,683,27,"['AUT-00001294', 'FIT-00001746', 'AUT-00001290', 'FIT-00000694']",1997-12-03
19,620,3,"['FIT-00002149', 'CEL-00000521']",1999-03-12
20,677,18,"['FIT-00001110', 'LAP-00000212', 'AUT-00001397', 'LAP-00000323']",1994-12-25
21,973,20,['AUT-00000171'],1997-05-11
22,892,8,['FIT-00000960'],1990-09-18
23,984,24,"['AUT-00000903', 'AUT-00001258', 'CEL-00000537']",1990-08-12
24,496,10,"['FIT-00000314', 'FIT-00002005', 'CEL-00000481', 'CEL-00000594']",1998-08-10
25,299,12,['FIT-00001009'],1999-08-22
26,657,13,"['FIT-00002288', 'LAP-00000385', 'FIT-00000583', 'AUT-00000486']",1991-02-27
27,13,32,"['AUT-00000317', 'AUT-00001185', 'LAP-00000700', 'FIT-00000309']",1998-09-20
28,494,26,"['FIT-00001981', 'FIT-00001722']",1991-05-13
29,345,29,"['AUT-00001102', 'LAP-00000459', 'LAP-00000301', 'FIT-00001530']",1990-12-15
30,186,2,"['CEL-00000732', 'AUT-00000444']",1999-05-29
31,77,28,['FIT-00001758'],2000-06-18
32,511,33,"['LAP-00000464', 'FIT-00001420', 'FIT-00001823']",1998-03-19
33,726,24,"['LAP-00000545', 'FIT-00002174', 'AUT-00000906']",1995-09-05
34,999,23,['FIT-00000789'],1996-08-03
35,6,31,['FIT-00001305'],1991-03-04
36,82,2,"['FIT-00000376', 'AUT-00000268', 'FIT-00000213', 'FIT-00000596']",1992-03-03
37,507,22,"['LAP-00000498', 'FIT-00002039', 'FIT-00000882']",1999-03-01
38,259,12,"['LAP-00000719', 'LAP-00000183', 'AUT-00000691', 'FIT-00002439']",1997-06-06
39,804,16,['FIT-00000709'],1999-07-24
40,611,33,"['AUT-00001134', 'AUT-00000614']",1995-05-29
41,595,34,"['AUT-00000524', 'CEL-00000326', 'FIT-00000815']",2000-01-03
42,355,21,['FIT-00001603'],1993-11-22
43,463,27,"['FIT-00001056', 'CEL-00000275', 'FIT-00001175']",1999-04-16
44,952,8,"['LAP-00000093', 'AUT-00001301', 'FIT-00001484']",2000-07-13
45,917,24,"['FIT-00001561', 'CEL-00000473', 'FIT-00001561', 'AUT-00000957']",1991-07-22
46,118,16,"['FIT-00001970', 'AUT-00000553', 'FIT-00001483', 'FIT-00000740']",1995-11-15
47,722,30,"['CEL-00000455', 'AUT-00000368', 'CEL-00000680']",2000-01-13
48,214,25,"['LAP-00000012', 'AUT-00001387', 'AUT-00000659', 'FIT-00000695']",1995-04-05
49,97,0,"['FIT-00000997', 'FIT-00000358', 'FIT-00002267']",1996-02-24
50,112,31,"['LAP-00000551', 'AUT-00000398', 'FIT-00002293', 'FIT-00001172']",1990-03-07
51,330,22,['FIT-00000006'],1995-09-20
52,582,20,['CEL-00000133'],1995-09-05
53,901,4,"['LAP-00000811', 'CEL-00000159']",2000-08-30
54,398,1,"['FIT-00001437', 'FIT-00000441', 'FIT-00001098', 'LAP-00000225']",1990-07-07
55,225,11,"['FIT-00000918', 'FIT-00000755', 'AUT-00000375', 'CEL-00000506']",1998-11-19
56,415,29,"['LAP-00000214', 'LAP-00000799']",1998-09-17
57,551,34,"['LAP-00000308', 'LAP-00000223']",1990-11-06
58,931,28,['CEL-00000571'],1998-06-24
59,947,15,"['AUT-00001343', 'FIT-00001481', 'FIT-00000436']",1994-06-27
60,536,29,"['AUT-00000211', 'LAP-00000658', 'FIT-00000848']",2000-02-19
61,383,28,"['AUT-00001048', 'FIT-00002424', 'LAP-00000487']",1993-05-18
62,387,6,"['FIT-00001729', 'FIT-00002122', 'FIT-00000552', 'LAP-00000168']",1994-04-18
63,360,4,['LAP-00000677'],1991-09-19
64,260,25,"['CEL-00000431', 'FIT-00000888', 'FIT-00001731']",1993-02-26
65,675,18,['FIT-00000789'],1992-08-19
66,200,15,"['LAP-00000625', 'FIT-00000253', 'CEL-00000640']",1998-10-27
67,718,20,"['AUT-00001149', 'FIT-00000309', 'AUT-00000090', 'FIT-00002013']",1994-03-21
68,871,34,"['FIT-00000121', 'AUT-00001174', 'FIT-00002361']",2000-12-09
69,990,26,"['LAP-00000097', 'FIT-00001754']",2000-10-16
70,196,6,"['FIT-00001814', 'FIT-00001792', 'AUT-00001083']",1990-02-25
71,589,10,"['FIT-00001247', 'LAP-00000703', 'LAP-00000198']",1996-02-26
72,957,10,['FIT-00001370'],1998-10-30
73,906,28,"['CEL-00000542', 'FIT-00000608', 'AUT-00000864']",1990-03-26
74,510,8,"['FIT-00000046', 'FIT-00000277', 'AUT-00001153', 'LAP-00000540']",1993-09-27
75,871,6,"['FIT-00001078', 'FIT-00001416', 'FIT-00001907']",1999-09-06
76,62,8,"['LAP-00000475', 'FIT-00001896']",1990-02-21
77,267,22,"['LAP-00000610', 'AUT-00000973']",1990-04-27
78,906,18,['FIT-00002468'],1993-01-04
79,148,28,"['FIT-00000842', 'AUT-00000070', 'FIT-00001995', 'FIT-00000991']",1992-10-26
80,770,28,"['AUT-00000750', 'FIT-00002169', 'FIT-00002066']",1997-07-26
81,494,15,"['FIT-00001831', 'AUT-00001192', 'LAP-00000823', 'AUT-00000929']",2000-01-13
82,146,25,"['AUT-00000469', 'LAP-00000466', 'FIT-00001821']",2000-10-29
83,830,21,['FIT-00002347'],1993-04-25
84,611,22,['FIT-00000713'],1992-05-29
85,950,12,"['FIT-00000578', 'FIT-00002105']",1998-09-03
86,316,34,"['AUT-00001239', 'FIT-00002214']",1998-07-21
87,427,2,['FIT-00000857'],1993-11-03
88,788,0,"['FIT-00000712', 'CEL-00000149']",1997-07-20
89,465,19,"['FIT-00000278', 'FIT-00000222', 'FIT-00001056']",1992-02-25
90,456,13,"['AUT-00000212', 'LAP-00000435', 'FIT-00001071', 'FIT-00000525']",1993-05-01
91,261,9,['LAP-00000041'],2000-11-20
92,290,9,['FIT-00000898'],1999-09-05
93,981,32,"['FIT-00001480', 'FIT-00000524', 'AUT-00000522', 'LAP-00000407']",1993-08-28
94,809,1,['FIT-00002131'],1994-05-05
95,865,7,['AUT-00001124'],1994-07-12
96,177,31,['FIT-00000392'],2000-05-15
97,811,31,"['LAP-00000296', 'LAP-00000207']",1997-08-23
98,617,2,"['AUT-00000198', 'FIT-00000572', 'CEL-00000701']",1991-01-01
99,496,22,"['CEL-00000199', 'LAP-00000598']",1996-01-31
100,440,22,"['FIT-00000607', 'FIT-00001991', 'AUT-00000397', 'CEL-00000328']",1997-07-15
101,188,16,"['AUT-00001156', 'FIT-00001047']",1996-02-23
102,889,0,"['AUT-00000025', 'AUT-00000684']",1995-12-09
103,359,6,"['FIT-00000828', 'CEL-00000699', 'LAP-00000827']",1993-05-28
104,677,25,['FIT-00000901'],1998-03-30
105,16,27,"['FIT-00000155', 'AUT-00000759', 'FIT-00001966']",1992-10-05
106,259,2,"['AUT-00000925', 'AUT-00000003']",2000-01-21
107,619,31,['CEL-00000090'],1996-07-28
108,402,17,['CEL-00000535'],1992-06-22
109,337,15,"['AUT-00001267', 'FIT-00000835', 'FIT-00001575']",1999-12-19
110,66,29,"['FIT-00001919', 'FIT-00001298']",1994-04-07
111,864,29,"['CEL-00000699', 'CEL-00000432']",1999-04-13
112,77,19,"['FIT-00002331', 'AUT-00000729', 'FIT-00002086', 'FIT-00000949']",1994-01-13
113,214,18,"['AUT-00001237', 'LAP-00000092', 'AUT-00001089', 'FIT-00001713']",1996-11-28
114,836,19,"['AUT-00000206', 'FIT-00001047', 'LAP-00000686', 'LAP-00000294']",2000-09-25
115,205,19,"['AUT-00000550', 'AUT-00000588']",1996-05-10
116,26,25,"['AUT-00001392', 'CEL-00000357', 'LAP-00000547']",1994-05-14
117,756,2,"['CEL-00000449', 'FIT-00002165', 'FIT-00000842', 'AUT-00001241']",1996-05-16
118,484,4,['FIT-00002386'],1991-06-07
119,388,12,"['LAP-00000523', 'FIT-00000196', 'AUT-00001279', 'FIT-00000214']",1994-03-21
120,788,26,"['FIT-00001538', 'LAP-00000475', 'FIT-00002210', 'FIT-00000998']",1996-12-14
121,429,21,"['FIT-00002013', 'AUT-00000303', 'AUT-00000232']",1996-04-13
122,955,28,"['AUT-00000048', 'FIT-00001877', 'LAP-00000106']",1995-12-23
123,604,34,['AUT-00000554'],1997-05-16
124,765,29,"['AUT-00001043', 'FIT-00002188', 'LAP-00000034']",1997-07-09
125,461,19,['FIT-00000869'],2000-05-12
126,855,16,"['FIT-00001141', 'LAP-00000534', 'CEL-00000440']",1990-02-15
127,686,0,['FIT-00000880'],1992-11-21
128,292,7,"['FIT-00001832', 'FIT-00002445', 'AUT-00001069']",1998-09-07
129,785,19,"['FIT-00000753', 'FIT-00001556', 'FIT-00000500', 'FIT-00000718']",1994-08-31
130,819,14,['AUT-00001406'],1991-04-23
131,283,24,"['CEL-00000525', 'CEL-00000431']",1990-07-20
132,987,28,"['FIT-00000865', 'FIT-00000220', 'FIT-00002394', 'LAP-00000658']",1996-12-17
133,678,30,"['FIT-00000954', 'CEL-00000477', 'FIT-00001705']",1999-08-28
134,639,15,['CEL-00000112'],1995-05-08
135,806,24,"['FIT-00000852', 'LAP-00000796', 'FIT-00002204']",1999-11-18
136,75,14,"['FIT-00001808', 'FIT-00001306']",1992-07-05
137,655,20,['FIT-00002326'],1997-01-10
138,326,6,"['FIT-00001059', 'FIT-00001676', 'AUT-00000588', 'FIT-00002341']",2000-03-09
139,279,26,"['LAP-00000820', 'FIT-00001639']",1993-03-13
140,297,18,"['FIT-00000867', 'FIT-00000373', 'FIT-00001511', 'AUT-00000096']",1992-10-15
141,91,18,['AUT-00000417'],2000-02-19
142,14,12,['AUT-00000192'],1990-11-22
143,422,7,['FIT-00001796'],1993-07-27
